日付,レース,判定,モード,買い目数,投資額,実際,的中,配当,頭1位,頭1位スコア,頭2位,頭2位スコア,展示バフ数,展示デバフ数,展示バフ点,展示デバフ点,1ST補正,まくり補正,買い目
20250129,3,注意,hit,16,1600,1-2-6,False,0,3,33.7,5,24.0,0,0,0,0,-50,-30,3-5-6 3-6-5 3-5-1 3-1-5 3-5-4 3-4-5 3-4-6 3-6-4 3-4-1 3-1-4 5-4-3 5-3-4 5-4-6 5-6-4 5-4-1 5-1-4
20250129,4,注意,hit,16,1600,5-4-1,True,2300,5,56.1,6,47.7,1,1,5,-7,-21,-10,5-4-6 5-6-4 5-4-1 5-1-4 5-4-2 5-2-4 6-4-5 6-5-4 6-4-1 6-1-4 6-4-2 6-2-4 6-5-1 6-1-5 6-5-2 6-2-5
20250129,5,買い,hit,16,1600,3-4-2,False,0,4,55.3,2,36.3,0,0,0,0,23,8,4-3-2 4-2-3 4-3-1 4-1-3 4-3-6 4-6-3 2-3-4 2-4-3 2-3-1 2-1-3 2-3-6 2-6-3 2-4-1 2-1-4 2-4-6 2-6-4
20250129,9,買い,hit,16,1600,3-1-6,True,2060,1,69.9,3,52.0,0,0,0,0,26,-20,1-3-6 1-6-3 1-3-4 1-4-3 1-3-2 1-2-3 1-6-4 1-4-6 1-6-2 1-2-6 3-6-1 3-1-6 3-6-4 3-4-6 3-6-2 3-2-6
20250129,10,注意,hit,16,1600,1-2-4,False,0,1,66.6,6,35.1,1,1,3,-15,19,-30,1-2-6 1-6-2 1-2-3 1-3-2 1-2-5 1-5-2 6-1-2 6-2-1 6-1-3 6-3-1 6-1-5 6-5-1 6-2-3 6-3-2 6-2-5 6-5-2
20250129,12,注意,hit,16,1600,1-4-2,False,0,4,61.8,1,52.3,0,0,0,0,6,10,4-1-3 4-3-1 4-1-5 4-5-1 4-1-6 4-6-1 4-3-5 4-5-3 4-3-6 4-6-3 1-3-4 1-4-3 1-3-5 1-5-3 1-3-6 1-6-3
20250130,4,買い,hit,12,1200,1-2-3,False,0,4,61.8,1,19.0,1,1,0,-10,-15,0,4-1-3 4-3-1 4-1-2 4-2-1 4-1-6 4-6-1 1-4-3 1-3-4 1-4-2 1-2-4 1-4-6 1-6-4
20250130,5,注意,hit,16,1600,1-2-5,False,0,5,42.8,2,31.2,1,1,12,-25,-50,-25,5-1-2 5-2-1 5-1-4 5-4-1 5-1-3 5-3-1 2-5-4 2-4-5 2-5-1 2-1-5 2-5-3 2-3-5 2-1-4 2-4-1 2-1-3 2-3-1
20250130,9,注意,hit,16,1600,1-2-4,False,0,1,60.8,3,45.8,0,0,0,0,4,-10,1-2-3 1-3-2 1-2-6 1-6-2 1-2-5 1-5-2 3-2-1 3-1-2 3-2-6 3-6-2 3-2-5 3-5-2 3-1-6 3-6-1 3-1-5 3-5-1
20250130,10,注意,hit,20,2000,3-6-5,False,0,4,42.7,2,25.2,0,0,0,0,-36,0,4-1-2 4-2-1 4-1-6 4-6-1 4-1-3 4-3-1 4-3-2 4-2-3 4-3-6 4-6-3 2-1-4 2-4-1 2-1-6 2-6-1 2-1-3 2-3-1 2-3-4 2-4-3 2-3-6 2-6-3
20250131,3,買い,hit,12,1200,5-1-2,False,0,5,57.0,4,36.3,0,0,0,0,-43,-15,5-4-6 5-6-4 5-4-1 5-1-4 5-4-3 5-3-4 4-5-6 4-6-5 4-5-1 4-1-5 4-5-3 4-3-5
20250131,4,買い,hit,12,1200,1-2-5,False,0,5,46.8,2,28.0,0,0,0,0,6,-27,5-2-1 5-1-2 5-2-6 5-6-2 5-2-3 5-3-2 2-5-1 2-1-5 2-5-6 2-6-5 2-5-3 2-3-5
20250131,5,買い,hit,12,1200,1-5-2,False,0,5,50.6,2,22.3,0,0,0,0,-28,-35,5-2-1 5-1-2 5-2-4 5-4-2 5-2-6 5-6-2 2-5-1 2-1-5 2-5-4 2-4-5 2-5-6 2-6-5
20250131,8,買い,hit,12,1200,1-3-4,False,0,1,50.1,5,10.0,0,0,0,0,9,-45,1-5-2 1-2-5 1-5-4 1-4-5 1-5-3 1-3-5 5-1-2 5-2-1 5-1-4 5-4-1 5-1-3 5-3-1
20250131,12,注意,hit,16,1600,1-3-4,True,1270,3,72.2,1,58.7,0,0,0,0,19,2,3-5-1 3-1-5 3-5-2 3-2-5 3-5-4 3-4-5 1-3-5 1-5-3 1-3-2 1-2-3 1-3-4 1-4-3 1-5-2 1-2-5 1-5-4 1-4-5
20250203,5,注意,hit,12,1200,4-2-5,False,0,1,77.8,4,61.4,1,1,5,-7,9,-7,1-4-2 1-2-4 1-4-5 1-5-4 1-4-6 1-6-4 4-1-2 4-2-1 4-1-5 4-5-1 4-1-6 4-6-1
20250203,7,買い,hit,12,1200,1-2-3,True,570,1,51.8,2,29.2,0,0,0,0,9,-22,1-2-3 1-3-2 1-2-5 1-5-2 1-2-4 1-4-2 2-1-3 2-3-1 2-1-5 2-5-1 2-1-4 2-4-1
20250203,8,買い,hit,12,1200,2-1-6,False,0,5,59.9,2,19.7,1,1,10,-15,-9,-35,5-2-1 5-1-2 5-2-6 5-6-2 5-2-3 5-3-2 2-5-1 2-1-5 2-5-6 2-6-5 2-5-3 2-3-5
20250203,12,買い,hit,20,2000,1-4-3,True,1930,1,85.0,5,50.6,1,1,0,-10,28,-10,1-4-5 1-5-4 1-4-2 1-2-4 1-4-3 1-3-4 1-2-5 1-5-2 1-2-3 1-3-2 5-4-1 5-1-4 5-4-2 5-2-4 5-4-3 5-3-4 5-2-1 5-1-2 5-2-3 5-3-2
20250204,6,買い,hit,12,1200,1-5-2,False,0,5,78.6,3,34.4,1,1,8,-15,-7,-10,5-3-1 5-1-3 5-3-6 5-6-3 5-3-4 5-4-3 3-5-1 3-1-5 3-5-6 3-6-5 3-5-4 3-4-5
20250204,8,注意,hit,16,1600,2-5-1,False,0,1,54.8,3,41.6,0,0,0,0,13,7,1-4-3 1-3-4 1-4-5 1-5-4 1-4-6 1-6-4 3-1-5 3-5-1 3-1-4 3-4-1 3-1-6 3-6-1 3-4-5 3-5-4 3-4-6 3-6-4
20250204,9,注意,hit,16,1600,1-3-2,True,1300,1,64.1,2,49.4,0,0,0,0,19,0,1-2-6 1-6-2 1-2-4 1-4-2 1-2-3 1-3-2 1-4-6 1-6-4 1-4-3 1-3-4 2-4-1 2-1-4 2-4-6 2-6-4 2-4-3 2-3-4
20250205,2,買い,hit,12,1200,1-2-3,False,0,4,42.8,1,23.5,0,0,0,0,-4,-25,4-1-2 4-2-1 4-1-3 4-3-1 4-1-6 4-6-1 1-4-2 1-2-4 1-4-3 1-3-4 1-4-6 1-6-4
20250205,5,買い,hit,12,1200,4-5-3,False,0,4,61.3,2,34.2,0,0,0,0,-9,-3,4-2-1 4-1-2 4-2-5 4-5-2 4-2-3 4-3-2 2-4-1 2-1-4 2-4-5 2-5-4 2-4-3 2-3-4
20250205,6,注意,hit,16,1600,4-5-2,True,970,4,62.3,3,47.6,1,1,3,-7,-50,22,4-5-3 4-3-5 4-5-2 4-2-5 4-5-1 4-1-5 3-4-5 3-5-4 3-4-2 3-2-4 3-4-1 3-1-4 3-5-2 3-2-5 3-5-1 3-1-5
20250205,7,買い,hit,16,1600,2-1-4,False,0,1,69.2,4,33.7,0,0,0,0,26,-18,1-2-4 1-4-2 1-2-6 1-6-2 1-2-3 1-3-2 4-1-6 4-6-1 4-1-2 4-2-1 4-1-3 4-3-1 4-2-6 4-6-2 4-2-3 4-3-2
20250205,8,注意,hit,20,2000,2-6-4,False,0,1,52.7,3,42.8,0,0,0,0,19,-5,1-3-2 1-2-3 1-3-6 1-6-3 1-3-4 1-4-3 1-3-5 1-5-3 1-2-6 1-6-2 1-2-4 1-4-2 1-2-5 1-5-2 3-2-6 3-6-2 3-2-4 3-4-2 3-2-5 3-5-2
20250205,10,注意,hit,16,1600,1-3-2,False,0,3,33.7,1,25.6,0,0,0,0,4,-30,3-4-1 3-1-4 3-4-5 3-5-4 3-4-6 3-6-4 1-3-4 1-4-3 1-3-5 1-5-3 1-3-6 1-6-3 1-4-5 1-5-4 1-4-6 1-6-4
20250205,12,注意,hit,16,1600,1-2-5,False,0,3,69.3,6,61.3,0,0,0,0,-30,35,3-1-6 3-6-1 3-1-2 3-2-1 3-1-5 3-5-1 6-3-2 6-2-3 6-3-5 6-5-3 6-3-1 6-1-3 6-1-2 6-2-1 6-1-5 6-5-1
20250206,2,注意,hit,16,1600,4-1-6,False,0,3,43.2,5,33.0,0,0,0,0,-9,-25,3-5-1 3-1-5 3-5-6 3-6-5 3-5-2 3-2-5 3-2-1 3-1-2 3-2-6 3-6-2 5-2-3 5-3-2 5-2-1 5-1-2 5-2-6 5-6-2
20250206,5,注意,hit,12,1200,4-2-1,False,0,4,47.0,3,35.4,0,0,0,0,-43,-5,4-3-6 4-6-3 4-3-2 4-2-3 4-3-1 4-1-3 3-4-6 3-6-4 3-4-2 3-2-4 3-4-1 3-1-4
20250206,6,注意,hit,16,1600,1-3-4,False,0,5,45.6,3,35.1,1,1,3,-7,-13,-5,5-3-4 5-4-3 5-3-2 5-2-3 5-3-6 5-6-3 5-2-4 5-4-2 5-2-6 5-6-2 3-2-5 3-5-2 3-2-4 3-4-2 3-2-6 3-6-2
20250206,12,買い,hit,16,1600,1-3-5,False,0,1,98.3,2,62.2,0,0,0,0,28,1,1-2-3 1-3-2 1-2-4 1-4-2 1-2-6 1-6-2 1-3-4 1-4-3 1-3-6 1-6-3 2-3-1 2-1-3 2-3-4 2-4-3 2-3-6 2-6-3
20250209,4,注意,hit,16,1600,2-6-1,False,0,5,65.5,3,56.0,1,1,0,-10,19,40,5-4-3 5-3-4 5-4-1 5-1-4 5-4-2 5-2-4 3-4-5 3-5-4 3-4-1 3-1-4 3-4-2 3-2-4 3-5-1 3-1-5 3-5-2 3-2-5
20250209,7,注意,hit,12,1200,4-2-5,False,0,3,98.0,6,63.2,0,0,0,0,-37,38,3-6-4 3-4-6 3-6-2 3-2-6 3-6-1 3-1-6 6-3-4 6-4-3 6-3-2 6-2-3 6-3-1 6-1-3
20250209,8,注意,hit,12,1200,3-2-4,False,0,5,73.9,2,64.8,1,1,15,-22,-2,-22,5-2-1 5-1-2 5-2-6 5-6-2 5-2-3 5-3-2 2-5-1 2-1-5 2-5-6 2-6-5 2-5-3 2-3-5
20250209,10,注意,hit,12,1200,3-1-5,False,0,1,131.6,5,105.9,0,0,0,0,28,10,1-5-6 1-6-5 1-5-2 1-2-5 1-5-4 1-4-5 5-1-6 5-6-1 5-1-2 5-2-1 5-1-4 5-4-1
